"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","376","test_locked_out_user","tests","Mon Jan 26 15:17:44 UTC 2026","passed","Mon Jan 26 15:17:44 UTC 2026","TestLogin","test_login","",""
"","585","test_remove_item_from_cart","tests","Mon Jan 26 15:17:31 UTC 2026","passed","Mon Jan 26 15:17:32 UTC 2026","TestShoppingCart","test_cart","",""
"","456","test_cart_counter_increment_after_one_item","tests","Mon Jan 26 15:17:40 UTC 2026","passed","Mon Jan 26 15:17:41 UTC 2026","TestInventory","test_inventory","",""
"","1365","test_logout_burger_menu","tests","Mon Jan 26 15:17:45 UTC 2026","passed","Mon Jan 26 15:17:47 UTC 2026","","test_logout","",""
"","522","test_cart_total_price_for_single_item","tests","Mon Jan 26 15:17:32 UTC 2026","passed","Mon Jan 26 15:17:33 UTC 2026","TestShoppingCart","test_cart","",""
"","673","test_check_total_sum","tests","Mon Jan 26 15:17:39 UTC 2026","passed","Mon Jan 26 15:17:39 UTC 2026","TestCheckoutFlow","test_checkout","",""
"","674","test_checkout_without_first_name","tests","Mon Jan 26 15:17:37 UTC 2026","passed","Mon Jan 26 15:17:38 UTC 2026","TestCheckoutFlow","test_checkout","",""
"","578","test_continue_shopping_keeps_cart_state","tests","Mon Jan 26 15:17:34 UTC 2026","passed","Mon Jan 26 15:17:35 UTC 2026","TestShoppingCart","test_cart","",""
"","500","test_open_backpack_details_from_inventory","tests","Mon Jan 26 15:17:42 UTC 2026","passed","Mon Jan 26 15:17:43 UTC 2026","TestInventoryItem","test_inventory_item_navigation","",""
"","692","test_checkout_complete_flow","tests","Mon Jan 26 15:17:36 UTC 2026","passed","Mon Jan 26 15:17:37 UTC 2026","TestCheckoutFlow","test_checkout","",""
"","503","test_cart_icon_counter_for_two_items","tests","Mon Jan 26 15:17:41 UTC 2026","passed","Mon Jan 26 15:17:42 UTC 2026","TestInventory","test_inventory","",""
"","503","test_clear_cart","tests","Mon Jan 26 15:17:33 UTC 2026","passed","Mon Jan 26 15:17:34 UTC 2026","TestShoppingCart","test_cart","",""
"","697","test_cart_badge_persistence_after_refresh","tests","Mon Jan 26 15:17:35 UTC 2026","passed","Mon Jan 26 15:17:36 UTC 2026","TestShoppingCart","test_cart","",""
"","753","test_add_item_to_cart","tests","Mon Jan 26 15:17:30 UTC 2026","passed","Mon Jan 26 15:17:31 UTC 2026","TestShoppingCart","test_cart","",""
"","401","test_successful_login","tests","Mon Jan 26 15:17:43 UTC 2026","passed","Mon Jan 26 15:17:44 UTC 2026","TestLogin","test_login","",""
"","374","test_invalid_credentials","tests","Mon Jan 26 15:17:45 UTC 2026","passed","Mon Jan 26 15:17:45 UTC 2026","TestLogin","test_login","",""
"","434","test_sort_products_by_price_low_to_high","tests","Mon Jan 26 15:17:40 UTC 2026","passed","Mon Jan 26 15:17:40 UTC 2026","TestInventory","test_inventory","",""
"","1450","test_logout_via_burger_menu","tests","Mon Jan 26 15:17:47 UTC 2026","passed","Mon Jan 26 15:17:49 UTC 2026","","test_logout","",""
